"rental_date","return_date","film_title","store_address","customer_name","customer_email","customer_address"
"2005-05-25 02:19:23","2005-05-26 04:52:23","CLOSER BANG","47 MySakila Drive","FORTIER, RAUL","RAUL.FORTIER@sakilacustomer.org","1747 Rustenburg Place"
"2005-05-25 02:40:21","2005-05-29 06:34:21","WHALE BIKINI","47 MySakila Drive","LOVELACE, BARRY","BARRY.LOVELACE@sakilacustomer.org","1836 Korla Parkway"
"2005-05-25 02:53:02","2005-05-27 01:15:02","REDS POCUS","47 MySakila Drive","FRALEY, JUAN","JUAN.FRALEY@sakilacustomer.org","469 Nakhon Sawan Street"
"2005-05-25 03:21:20","2005-05-27 21:25:20","SUN CONFESSIONS","28 MySQL Boulevard","BAKER, PAMELA","PAMELA.BAKER@sakilacustomer.org","1440 Fukuyama Loop"
"2005-05-25 03:36:50","2005-05-31 00:34:50","WAIT CIDER","47 MySakila Drive","POULIN, BILLY","BILLY.POULIN@sakilacustomer.org","1061 Ede Avenue"
"2005-05-25 03:41:50","2005-05-30 01:13:50","EASY GLADIATOR","28 MySQL Boulevard","BAUGHMAN, ROBERT","ROBERT.BAUGHMAN@sakilacustomer.org","1883 Maikop Lane"
"2005-05-25 03:42:37","2005-05-26 09:26:37","THIEF PELICAN","47 MySakila Drive","REID, CONSTANCE","CONSTANCE.REID@sakilacustomer.org","885 Yingkou Manor"
"2005-05-25 03:47:12","2005-05-30 00:31:12","CHAINSAW UPTOWN","28 MySQL Boulevard","TURNER, MARIE","MARIE.TURNER@sakilacustomer.org","1998 Halifax Drive"
"2005-05-25 04:01:32","2005-05-30 03:12:32","SONG HEDWIG","47 MySakila Drive","HOULE, RAY","RAY.HOULE@sakilacustomer.org","740 Udaipur Lane"
"2005-05-25 04:05:17","2005-05-30 07:15:17","WITCHES PANIC","28 MySQL Boulevard","WHEAT, FRED","FRED.WHEAT@sakilacustomer.org","433 Florencia Street"
"2005-05-25 04:06:21","2005-05-25 23:55:21","STALLION SUNDANCE","28 MySQL Boulevard","GEORGE, JOY","JOY.GEORGE@sakilacustomer.org","1256 Bislig Boulevard"
"2005-05-25 04:18:51","2005-05-27 03:58:51","GOLDMINE TYCOON","47 MySakila Drive","CALDWELL, KAY","KAY.CALDWELL@sakilacustomer.org","85 San Felipe de Puerto Plata Drive"
"2005-05-25 04:19:28","2005-05-29 00:10:28","MICROCOSMOS PARADISE","47 MySakila Drive","DUGGAN, FREDDIE","FREDDIE.DUGGAN@sakilacustomer.org","1103 Quilmes Boulevard"
"2005-05-25 04:24:36","2005-05-27 07:02:36","ENEMY ODDS","28 MySQL Boulevard","VU, ROBERTO","ROBERTO.VU@sakilacustomer.org","1297 Alvorada Parkway"
"2005-05-25 04:36:26","2005-05-29 00:31:26","ESCAPE METROPOLIS","28 MySQL Boulevard","HUGHES, BONNIE","BONNIE.HUGHES@sakilacustomer.org","1942 Ciparay Parkway"
"2005-05-25 04:44:31","2005-05-29 01:03:31","BORROWERS BEDAZZLED","28 MySQL Boulevard","ELROD, JAVIER","JAVIER.ELROD@sakilacustomer.org","195 Ilorin Street"
"2005-05-25 04:47:44","2005-06-01 00:58:44","MANCHURIAN CURTAIN","47 MySakila Drive","SILVERMAN, MICHAEL","MICHAEL.SILVERMAN@sakilacustomer.org","1908 Gaziantep Place"
"2005-05-25 04:51:46","2005-05-31 03:14:46","WIND PHANTOM","47 MySakila Drive","CASTILLO, GERTRUDE","GERTRUDE.CASTILLO@sakilacustomer.org","850 Salala Loop"
"2005-05-25 05:09:04","2005-05-27 23:12:04","MINDS TRUMAN","47 MySakila Drive","YEE, MARVIN","MARVIN.YEE@sakilacustomer.org","126 Acua Parkway"
"2005-05-25 05:12:29","2005-06-02 00:28:29","GRIT CLOCKWORK","28 MySQL Boulevard","WATKINS, YVONNE","YVONNE.WATKINS@sakilacustomer.org","1848 Salala Boulevard"
"2005-05-25 05:24:58","2005-05-31 02:47:58","BOILED DARES","47 MySakila Drive","GUAJARDO, HARVEY","HARVEY.GUAJARDO@sakilacustomer.org","600 Purnea (Purnia) Avenue"
"2005-05-25 05:39:25","2005-05-26 06:54:25","MASSAGE IMAGE","28 MySQL Boulevard","RENNER, NEIL","NEIL.RENNER@sakilacustomer.org","1817 Livorno Way"
"2005-05-25 05:53:23","2005-05-29 10:56:23","PIRATES ROXANNE","47 MySakila Drive","CASTILLO, GERTRUDE","GERTRUDE.CASTILLO@sakilacustomer.org","850 Salala Loop"
"2005-05-25 05:59:39","2005-06-02 09:56:39","HARRY IDAHO","28 MySQL Boulevard","QUIGLEY, TROY","TROY.QUIGLEY@sakilacustomer.org","983 Santa F Way"
"2005-05-25 06:04:08","2005-06-02 08:18:08","RIDGEMONT SUBMARINE","47 MySakila Drive","MILLER, MARIA","MARIA.MILLER@sakilacustomer.org","900 Santiago de Compostela Parkway"
"2005-05-25 06:05:20","2005-05-30 03:04:20","JAWS HARRY","28 MySQL Boulevard","GREEN, VIRGINIA","VIRGINIA.GREEN@sakilacustomer.org","391 Callao Drive"
"2005-05-25 06:20:46","2005-06-02 05:42:46","GUN BONNIE","47 MySakila Drive","CASTRO, JENNY","JENNY.CASTRO@sakilacustomer.org","1405 Chisinau Place"
"2005-05-25 06:39:35","2005-05-30 10:12:35","PACIFIC AMISTAD","47 MySakila Drive","SANBORN, GENE","GENE.SANBORN@sakilacustomer.org","1416 San Juan Bautista Tuxtepec Avenue"
"2005-05-25 06:44:53","2005-05-28 11:28:53","HOPE TOOTSIE","28 MySQL Boulevard","GARCIA, CAROL","CAROL.GARCIA@sakilacustomer.org","320 Brest Avenue"
"2005-05-25 06:49:10","2005-05-26 06:42:10","ELF MURDER","47 MySakila Drive","HOLLAND, MABEL","MABEL.HOLLAND@sakilacustomer.org","51 Laredo Avenue"
"2005-05-25 06:51:29","2005-05-31 01:27:29","TALENTED HOMICIDE","47 MySakila Drive","RHOADS, EDGAR","EDGAR.RHOADS@sakilacustomer.org","1269 Ipoh Avenue"
"2005-05-25 07:19:16","2005-05-27 05:19:16","ELEPHANT TROJAN","47 MySakila Drive","GARDINER, DAVE","DAVE.GARDINER@sakilacustomer.org","1052 Pathankot Avenue"
"2005-05-25 07:23:25","2005-06-01 05:05:25","MUSKETEERS WAIT","47 MySakila Drive","HOLT, TONI","TONI.HOLT@sakilacustomer.org","1936 Cuman Avenue"
"2005-05-25 08:26:13","2005-05-30 10:57:13","DREAM PICKUP","28 MySQL Boulevard","HICKS, MONICA","MONICA.HICKS@sakilacustomer.org","1752 So Leopoldo Parkway"
"2005-05-25 08:28:11","2005-05-26 14:21:11","EYES DRIVING","28 MySQL Boulevard","BENNER, CHESTER","CHESTER.BENNER@sakilacustomer.org","1574 Goinia Boulevard"
"2005-05-25 08:43:32","2005-05-29 06:42:32","SUBMARINE BED","28 MySQL Boulevard","DAVIS, JENNIFER","JENNIFER.DAVIS@sakilacustomer.org","1795 Santiago de Compostela Way"
"2005-05-25 08:53:14","2005-05-28 14:40:14","PELICAN COMFORTS","47 MySakila Drive","MAHAN, MATTHEW","MATTHEW.MAHAN@sakilacustomer.org","479 San Felipe del Progreso Avenue"
"2005-05-25 08:56:42","2005-06-01 09:52:42","OCTOBER SUBMARINE","28 MySQL Boulevard","MURRELL, MANUEL","MANUEL.MURRELL@sakilacustomer.org","692 Amroha Drive"
"2005-05-25 08:58:25","2005-05-30 14:14:25","BINGO TALENTED","28 MySQL Boulevard","ALLARD, GORDON","GORDON.ALLARD@sakilacustomer.org","434 Ourense (Orense) Manor"
"2005-05-25 09:01:57","2005-06-02 07:22:57","TRUMAN CRAZY","47 MySakila Drive","FOWLER, JO","JO.FOWLER@sakilacustomer.org","786 Stara Zagora Way"
"2005-05-25 09:18:52","2005-05-30 10:55:52","BEACH HEARTBREAKERS","28 MySQL Boulevard","CARBONE, CHAD","CHAD.CARBONE@sakilacustomer.org","1948 Bayugan Parkway"
"2005-05-25 09:19:16","2005-05-27 04:24:16","SWEETHEARTS SUSPECTS","47 MySakila Drive","BALES, MARTIN","MARTIN.BALES@sakilacustomer.org","368 Hunuco Boulevard"
"2005-05-25 09:21:29","2005-06-03 11:31:29","ALLEY EVOLUTION","28 MySQL Boulevard","ARCE, HARRY","HARRY.ARCE@sakilacustomer.org","1922 Miraj Way"
"2005-05-25 09:32:03","2005-05-29 14:21:03","SECRET GROUNDHOG","28 MySQL Boulevard","SIMPKINS, ARTHUR","ARTHUR.SIMPKINS@sakilacustomer.org","1157 Nyeri Loop"
"2005-05-25 09:35:12","2005-05-29 04:16:12","DRUMLINE CYCLONE","28 MySQL Boulevard","LONG, JACQUELINE","JACQUELINE.LONG@sakilacustomer.org","870 Ashqelon Loop"
"2005-05-25 09:41:01","2005-05-27 13:46:01","BANGER PINOCCHIO","47 MySakila Drive","MARSHALL, SHERRY","SHERRY.MARSHALL@sakilacustomer.org","1987 Coacalco de Berriozbal Loop"
"2005-05-25 09:47:31","2005-05-31 10:20:31","TEEN APOLLO","28 MySQL Boulevard","ORTIZ, SYLVIA","SYLVIA.ORTIZ@sakilacustomer.org","241 Mosul Lane"
"2005-05-25 10:10:14","2005-05-27 14:02:14","PURPLE MOVIE","47 MySakila Drive","MCCRARY, RICHARD","RICHARD.MCCRARY@sakilacustomer.org","913 Coacalco de Berriozbal Loop"
"2005-05-25 10:15:23","2005-05-27 05:56:23","INVASION CYCLONE","47 MySakila Drive","BROOKS, BEVERLY","BEVERLY.BROOKS@sakilacustomer.org","1947 Poos de Caldas Boulevard"
"2005-05-25 10:26:39","2005-05-28 04:59:39","LOATHING LEGALLY","28 MySQL Boulevard","HAYES, ROBIN","ROBIN.HAYES@sakilacustomer.org","1913 Kamakura Place"
"2005-05-25 10:52:13","2005-05-28 05:52:13","JUGGLER HARDLY","47 MySakila Drive","EVANS, ANN","ANN.EVANS@sakilacustomer.org","909 Garland Manor"
"2005-05-25 11:00:07","2005-06-01 13:56:07","CAMELOT VACATION","28 MySQL Boulevard","GAMEZ, CLARENCE","CLARENCE.GAMEZ@sakilacustomer.org","767 Pyongyang Drive"
"2005-05-25 11:09:48","2005-05-26 12:23:48","GREEDY ROOTS","28 MySQL Boulevard","TERRY, JENNIE","JENNIE.TERRY@sakilacustomer.org","682 Halisahar Place"
"2005-05-25 11:13:34","2005-06-03 12:58:34","ROSES TREASURE","47 MySakila Drive","EASTER, BEN","BEN.EASTER@sakilacustomer.org","886 Tonghae Place"
"2005-05-25 11:30:37","2005-06-03 12:00:37","PATIENT SISTER","28 MySQL Boulevard","SMITH, MARY","MARY.SMITH@sakilacustomer.org","1913 Hanoi Way"
"2005-05-25 11:31:59","2005-05-26 16:53:59","ENTRAPMENT SATISFACTION","28 MySQL Boulevard","REA, JIM","JIM.REA@sakilacustomer.org","814 Simferopol Loop"
"2005-05-25 11:35:18","2005-05-31 12:48:18","THIEF PELICAN","47 MySakila Drive","MASON, JUANITA","JUANITA.MASON@sakilacustomer.org","943 Johannesburg Avenue"
"2005-05-25 12:11:07","2005-06-03 10:54:07","RESERVOIR ADAPTATION","28 MySQL Boulevard","DAY, COURTNEY","COURTNEY.DAY@sakilacustomer.org","300 Junan Street"
"2005-05-25 12:12:07","2005-05-31 17:46:07","MADIGAN DORADO","47 MySakila Drive","LINTON, GEORGE","GEORGE.LINTON@sakilacustomer.org","1957 Yantai Lane"
"2005-05-25 12:15:19","2005-06-02 14:08:19","METROPOLIS COMA","28 MySQL Boulevard","LUCAS, VELMA","VELMA.LUCAS@sakilacustomer.org","1155 Liaocheng Place"
"2005-05-25 12:17:46","2005-06-01 10:48:46","FARGO GANDHI","28 MySQL Boulevard","MCCARTNEY, JESUS","JESUS.MCCARTNEY@sakilacustomer.org","259 Ipoh Drive"
"2005-05-25 12:30:15","2005-05-27 15:40:15","BUCKET BROTHERHOOD","47 MySakila Drive","HICKS, MONICA","MONICA.HICKS@sakilacustomer.org","1752 So Leopoldo Parkway"
"2005-05-25 12:36:30","2005-05-29 18:33:30","HANKY OCTOBER","28 MySQL Boulevard","KRAUS, LESTER","LESTER.KRAUS@sakilacustomer.org","1013 Tabuk Boulevard"
"2005-05-25 13:05:34","2005-05-29 16:53:34","BUCKET BROTHERHOOD","28 MySQL Boulevard","RALSTON, VINCENT","VINCENT.RALSTON@sakilacustomer.org","397 Sunnyvale Avenue"
"2005-05-25 13:36:12","2005-05-30 14:53:12","JUMPING WRATH","28 MySQL Boulevard","HERRERA, NORA","NORA.HERRERA@sakilacustomer.org","1587 Loja Manor"
"2005-05-25 13:52:43","2005-05-29 11:12:43","GANDHI KWAI","28 MySQL Boulevard","ROBERT, ERIC","ERIC.ROBERT@sakilacustomer.org","430 Kumbakonam Drive"
"2005-05-25 14:13:54","2005-05-29 09:32:54","JEEPERS WEDDING","28 MySQL Boulevard","MORRIS, HEATHER","HEATHER.MORRIS@sakilacustomer.org","17 Kabul Boulevard"
"2005-05-25 14:28:29","2005-05-29 14:33:29","ISLAND EXORCIST","28 MySQL Boulevard","OUTLAW, MARC","MARC.OUTLAW@sakilacustomer.org","1 Valle de Santiago Avenue"
"2005-05-25 14:31:25","2005-06-01 10:07:25","PANKY SUBMARINE","28 MySQL Boulevard","WALKER, DEBORAH","DEBORAH.WALKER@sakilacustomer.org","934 San Felipe de Puerto Plata Street"
"2005-05-25 14:57:22","2005-06-01 18:32:22","ANTHEM LUKE","47 MySakila Drive","WADE, MARGIE","MARGIE.WADE@sakilacustomer.org","1762 Paarl Parkway"
"2005-05-25 15:38:46","2005-05-31 13:40:46","COMFORTS RUSH","28 MySQL Boulevard","SILVERMAN, MICHAEL","MICHAEL.SILVERMAN@sakilacustomer.org","1908 Gaziantep Place"
"2005-05-25 15:54:16","2005-06-03 20:18:16","VOYAGE LEGALLY","47 MySakila Drive","CRAIG, BOBBIE","BOBBIE.CRAIG@sakilacustomer.org","86 Higashiosaka Lane"
"2005-05-25 16:03:42","2005-05-30 14:23:42","GOLDFINGER SENSIBILITY","47 MySakila Drive","PETERS, SUE","SUE.PETERS@sakilacustomer.org","817 Bradford Loop"
"2005-05-25 16:12:52","2005-06-02 18:55:52","ARMAGEDDON LOST","28 MySQL Boulevard","HARDISON, BRYAN","BRYAN.HARDISON@sakilacustomer.org","530 Lausanne Lane"
"2005-05-25 16:32:19","2005-05-30 10:47:19","RUGRATS SHAKESPEARE","28 MySQL Boulevard","EDWARDS, JOYCE","JOYCE.EDWARDS@sakilacustomer.org","725 Isesaki Place"
"2005-05-25 16:34:24","2005-05-28 12:13:24","ENEMY ODDS","47 MySakila Drive","HOPKINS, HILDA","HILDA.HOPKINS@sakilacustomer.org","1831 Nam Dinh Loop"
"2005-05-25 16:48:24","2005-05-27 11:29:24","PACKER MADIGAN","47 MySakila Drive","WALTERS, CASSANDRA","CASSANDRA.WALTERS@sakilacustomer.org","920 Kumbakonam Loop"
"2005-05-25 16:50:20","2005-05-28 18:52:20","CANDLES GRAPES","47 MySakila Drive","TURNER, MARIE","MARIE.TURNER@sakilacustomer.org","1998 Halifax Drive"
"2005-05-25 16:50:28","2005-06-02 22:11:28","METAL ARMAGEDDON","47 MySakila Drive","WHEELER, LUCY","LUCY.WHEELER@sakilacustomer.org","624 Oshawa Boulevard"
"2005-05-25 17:17:04","2005-05-31 19:47:04","CHAMPION FLATLINERS","28 MySQL Boulevard","CARY, TIM","TIM.CARY@sakilacustomer.org","1257 Guadalajara Street"
"2005-05-25 17:22:10","2005-05-31 19:47:10","BLOOD ARGONAUTS","47 MySakila Drive","GRAF, DOUGLAS","DOUGLAS.GRAF@sakilacustomer.org","785 Vaduz Street"
"2005-05-25 17:30:42","2005-06-03 22:36:42","ROBBERS JOON","47 MySakila Drive","STEPP, ERNEST","ERNEST.STEPP@sakilacustomer.org","500 Lincoln Parkway"
"2005-05-25 17:46:33","2005-05-27 15:20:33","VALLEY PACKER","47 MySakila Drive","CABRAL, DANIEL","DANIEL.CABRAL@sakilacustomer.org","543 Bergamo Avenue"
"2005-05-25 17:54:12","2005-05-30 12:03:12","CONFESSIONS MAGUIRE","28 MySQL Boulevard","COLE, TRACY","TRACY.COLE@sakilacustomer.org","1002 Ahmadnagar Manor"
"2005-05-25 18:18:19","2005-06-04 00:01:19","SHOW LORD","28 MySQL Boulevard","AUSTIN, ALMA","ALMA.AUSTIN@sakilacustomer.org","1074 Binzhou Manor"
"2005-05-25 18:28:09","2005-06-03 22:46:09","NETWORK PEAK","28 MySQL Boulevard","BAUGH, EDWARD","EDWARD.BAUGH@sakilacustomer.org","1359 Zhoushan Parkway"
"2005-05-25 18:30:05","2005-05-30 19:40:05","REMEMBER DIARY","28 MySQL Boulevard","FRAZIER, GLENDA","GLENDA.FRAZIER@sakilacustomer.org","1246 Boksburg Parkway"
"2005-05-25 18:40:20","2005-05-29 20:39:20","DISCIPLE MOTHER","47 MySakila Drive","BARCLAY, ANGEL","ANGEL.BARCLAY@sakilacustomer.org","496 Celaya Drive"
"2005-05-25 18:43:49","2005-06-03 18:13:49","TITANS JERK","28 MySQL Boulevard","MARTINEZ, RUTH","RUTH.MARTINEZ@sakilacustomer.org","1417 Lancaster Avenue"
"2005-05-25 18:45:19","2005-05-28 17:18:19","SNATCH SLIPPER","28 MySQL Boulevard","BURTON, COLLEEN","COLLEEN.BURTON@sakilacustomer.org","430 Alessandria Loop"
"2005-05-25 18:57:24","2005-06-02 20:44:24","INTERVIEW LIAISONS","28 MySQL Boulevard","KINDER, REGINALD","REGINALD.KINDER@sakilacustomer.org","519 Brescia Parkway"
"2005-05-25 19:07:40","2005-05-27 22:16:40","OZ LIAISONS","28 MySQL Boulevard","FOSTER, PHYLLIS","PHYLLIS.FOSTER@sakilacustomer.org","832 Nakhon Sawan Manor"
"2005-05-25 19:12:42","2005-06-01 23:10:42","WOMEN DORADO","28 MySQL Boulevard","SEWARD, LESLIE","LESLIE.SEWARD@sakilacustomer.org","1152 al-Qatif Lane"
"2005-05-25 19:13:25","2005-05-29 20:17:25","COAST RAINBOW","47 MySakila Drive","WILES, JON","JON.WILES@sakilacustomer.org","659 Gatineau Boulevard"
"2005-05-25 19:27:51","2005-05-26 16:23:51","WIFE TURN","47 MySakila Drive","GARCIA, CAROL","CAROL.GARCIA@sakilacustomer.org","320 Brest Avenue"
"2005-05-25 19:30:46","2005-05-31 23:59:46","VALENTINE VANISHING","28 MySQL Boulevard","MILLER, MARIA","MARIA.MILLER@sakilacustomer.org","900 Santiago de Compostela Parkway"
"2005-05-25 19:31:18","2005-05-31 15:00:18","CROOKED FROGMEN","28 MySQL Boulevard","ELY, JARED","JARED.ELY@sakilacustomer.org","1003 Qinhuangdao Street"
"2005-05-25 19:37:02","2005-05-29 23:51:02","FALCON VOLUME","47 MySakila Drive","STEWART, ALICE","ALICE.STEWART@sakilacustomer.org","1135 Izumisano Parkway"
"2005-05-25 19:37:47","2005-06-01 23:29:47","AIRPORT POLLOCK","28 MySQL Boulevard","SCHWARZ, BRUCE","BRUCE.SCHWARZ@sakilacustomer.org","1565 Tangail Manor"
"2005-05-25 19:41:29","2005-05-29 21:31:29","DISTURBING SCARFACE","28 MySQL Boulevard","SCHOFIELD, LEONARD","LEONARD.SCHOFIELD@sakilacustomer.org","88 Nagaon Manor"
"2005-05-25 19:46:21","2005-06-02 19:07:21","OPERATION OPERATION","28 MySQL Boulevard","LOWE, PRISCILLA","PRISCILLA.LOWE@sakilacustomer.org","144 South Hill Loop"
"2005-05-25 20:26:42","2005-05-26 19:41:42","GUYS FALCON","47 MySakila Drive","ROBERTS, CHRISTINE","CHRISTINE.ROBERTS@sakilacustomer.org","1447 Imus Way"
"2005-05-25 20:46:11","2005-05-30 00:47:11","BACKLASH UNDEFEATED","47 MySakila Drive","MENDOZA, MARIAN","MARIAN.MENDOZA@sakilacustomer.org","829 Grand Prairie Way"
"2005-05-25 20:48:50","2005-06-02 21:39:50","DARN FORRESTER","47 MySakila Drive","ARCE, HARRY","HARRY.ARCE@sakilacustomer.org","1922 Miraj Way"
"2005-05-25 21:07:59","2005-05-28 18:51:59","HYDE DOCTOR","47 MySakila Drive","FENNELL, ALEXANDER","ALEXANDER.FENNELL@sakilacustomer.org","231 Kaliningrad Place"
"2005-05-25 21:10:40","2005-06-02 21:38:40","HUNGER ROOF","28 MySQL Boulevard","GONZALES, NORMA","NORMA.GONZALES@sakilacustomer.org","152 Kitwe Parkway"
"2005-05-25 21:19:53","2005-05-29 23:34:53","VIDEOTAPE ARSENIC","28 MySQL Boulevard","CARTER, AMANDA","AMANDA.CARTER@sakilacustomer.org","671 Graz Street"
"2005-05-25 21:20:03","2005-06-04 01:25:03","TRADING PINOCCHIO","47 MySakila Drive","LEWIS, SARAH","SARAH.LEWIS@sakilacustomer.org","1780 Hino Boulevard"
"2005-05-25 21:21:56","2005-05-30 22:41:56","SUSPECTS QUILLS","28 MySQL Boulevard","COOK, GLORIA","GLORIA.COOK@sakilacustomer.org","1668 Saint Louis Place"
"2005-05-25 21:42:46","2005-05-30 23:25:46","CONNECTICUT TRAMP","28 MySQL Boulevard","BUNN, TIMOTHY","TIMOTHY.BUNN@sakilacustomer.org","981 Kumbakonam Place"
"2005-05-25 21:46:54","2005-05-31 21:02:54","ROCKETEER MOTHER","28 MySQL Boulevard","HITE, ZACHARY","ZACHARY.HITE@sakilacustomer.org","98 Pyongyang Boulevard"
"2005-05-25 21:48:30","2005-05-30 00:26:30","BORROWERS BEDAZZLED","47 MySakila Drive","GILBERT, TANYA","TANYA.GILBERT@sakilacustomer.org","647 A Corua (La Corua) Street"
"2005-05-25 21:48:41","2005-06-02 18:28:41","JUMPING WRATH","28 MySQL Boulevard","HANSEN, DELORES","DELORES.HANSEN@sakilacustomer.org","810 Palghat (Palakkad) Boulevard"
"2005-05-25 21:58:58","2005-06-03 17:50:58","AMERICAN CIRCUS","47 MySakila Drive","ROYAL, DAVID","DAVID.ROYAL@sakilacustomer.org","827 Yuncheng Drive"
"2005-05-25 22:02:30","2005-05-31 18:06:30","KISS GLORY","47 MySakila Drive","ADAM, NATHANIEL","NATHANIEL.ADAM@sakilacustomer.org","786 Matsue Way"
"2005-05-25 22:25:18","2005-06-01 02:30:18","MENAGERIE RUSHMORE","47 MySakila Drive","ARCHULETA, JORDAN","JORDAN.ARCHULETA@sakilacustomer.org","1229 Varanasi (Benares) Manor"
"2005-05-25 22:48:22","2005-05-29 20:21:22","TOURIST PELICAN","47 MySakila Drive","STCLAIR, KIRK","KIRK.STCLAIR@sakilacustomer.org","1923 Stara Zagora Lane"
"2005-05-25 23:00:21","2005-05-29 17:12:21","BINGO TALENTED","47 MySakila Drive","DOUGLAS, MARSHA","MARSHA.DOUGLAS@sakilacustomer.org","771 Yaound Manor"
"2005-05-25 23:34:22","2005-05-27 01:10:22","CHICKEN HELLFIGHTERS","47 MySakila Drive","NGO, JUSTIN","JUSTIN.NGO@sakilacustomer.org","519 Nyeri Manor"
"2005-05-25 23:34:53","2005-06-02 01:57:53","CONGENIALITY QUEST","28 MySQL Boulevard","FLORES, JULIA","JULIA.FLORES@sakilacustomer.org","1926 El Alto Avenue"
"2005-05-25 23:43:47","2005-05-29 00:46:47","WATCH TRACY","28 MySQL Boulevard","ROBINS, GREG","GREG.ROBINS@sakilacustomer.org","1786 Salinas Place"
"2005-05-25 23:45:52","2005-05-27 21:41:52","CRAFT OUTFIELD","47 MySakila Drive","RHODES, SHERRI","SHERRI.RHODES@sakilacustomer.org","922 Vila Velha Loop"
"2005-05-25 23:49:56","2005-06-01 21:41:56","GONE TROUBLE","47 MySakila Drive","RICO, KEITH","KEITH.RICO@sakilacustomer.org","482 Kowloon and New Kowloon Manor"
